196,242,3
186,302,3
22,377,1
244,51,2
166,346,1
298,474,4
115,265,2
253,465,5
305,451,3
6,86,3
62,257,2
286,1014,5
200,222,5
210,40,3
224,29,3
303,785,3
122,387,5
194,274,2
291,1042,4
234,1184,2
119,392,4
167,486,4
299,144,4
291,118,2
308,1,4
95,546,2
38,95,5
102,768,2
63,277,4
160,234,5
50,246,3
301,98,4
225,193,4
290,88,4
97,194,3
157,274,4
181,1081,1
278,603,5
276,796,1
7,32,4
10,16,4
284,304,4
201,979,2
276,564,3
287,327,5
246,201,5
242,1137,5
249,241,5
99,4,5
178,332,3
251,100,4
81,432,2
260,322,4
25,181,5
59,196,5
72,679,2
87,384,4
290,143,5
42,423,5
292,515,4
115,20,3
20,288,1
201,219,4
13,526,3
246,919,4
138,26,5
167,232,1
60,427,5
57,304,5
223,274,4
189,512,4
243,15,3
92,1049,1
246,416,3
194,165,4
241,690,2
178,248,4
254,1444,3
293,5,3
127,229,5
225,237,5
299,229,3
225,480,5
276,54,3
291,144,5
222,366,4
267,518,5
42,403,3
11,111,4
95,625,4
8,338,4
162,25,4
87,1016,4
279,154,5
145,275,2
119,1153,5
62,498,4
62,382,3
28,209,4
135,23,4
32,294,3
90,382,5
286,208,4
293,685,3
216,144,4
166,328,5
250,496,4
271,132,5
160,174,5
265,118,4
198,498,3
42,96,5
168,151,5
110,307,4
58,144,4
90,648,4
271,346,4
62,21,3
279,832,3
237,514,4
94,789,4
128,485,3
298,317,4
44,195,5
264,200,5
194,385,2
72,195,5
222,750,5
250,264,3
41,265,3
224,245,3
82,135,3
262,1147,4
293,471,3
216,658,3
250,140,3
59,23,5
286,379,5
244,815,4
7,479,4
174,368,1
87,274,4
194,1211,2
82,1134,2
13,836,2
13,272,4
244,756,2
305,427,5
95,787,2
43,14,2
299,955,4
57,419,3
84,405,3
269,504,4
299,111,3
194,466,4
160,135,4
99,268,3
10,486,4
259,117,4
85,427,3
303,919,4
213,273,5
121,514,3
90,98,5
49,559,2
42,794,3
155,323,2
68,117,4
172,177,4
19,4,4
268,231,4
5,2,3
305,117,2
44,294,4
43,137,4
279,1336,1
80,466,5
254,164,4
298,281,3
279,1240,1
66,298,4
18,443,3
268,1035,2
99,79,4
13,98,4
26,258,3
7,455,4
222,755,4
200,673,5
119,328,4
213,172,5
276,322,3
94,1217,3
130,379,4
38,328,4
160,719,3
293,1267,3
26,930,2
130,216,4
92,1079,3
256,452,4
1,61,4
72,48,4
56,755,3
13,360,4
15,405,2
92,77,3
207,476,2
292,174,5
232,483,5
251,748,2
224,26,3
181,220,4
259,255,4
305,471,4
52,280,3
161,202,5
148,408,5
125,235,2
97,228,5
58,1098,4
83,234,4
90,347,4
272,178,5
194,181,3
125,478,4
110,688,1
299,14,4
151,10,5
269,127,4
6,14,5
54,106,3
303,69,5
16,944,1
301,790,4
276,1091,3
305,214,2
194,1028,2
91,323,2
87,554,4
294,109,4
286,171,4
200,318,5
229,328,1
178,568,4
303,842,2
62,65,4
207,591,3
92,172,4
301,401,4
36,339,5
70,746,3
63,242,3
28,201,3
279,68,4
250,7,4
14,98,3
299,1018,3
194,54,3
303,815,3
119,237,5
295,218,5
268,930,2
268,2,2
66,258,4
233,202,5
83,623,4
214,334,3
192,476,2
100,344,4
268,145,1
301,56,4
307,89,5
234,141,3
83,576,4
181,264,2
297,133,4
38,153,5
7,382,4
264,813,4
181,872,1
201,146,1
85,507,4
269,367,3
59,468,3
286,143,4
193,96,1
113,595,5
292,11,5
130,1014,3
275,98,4
189,520,5
219,82,1
218,209,5
123,427,3
119,222,5
158,177,4
222,118,4
302,322,2
279,501,3
301,79,5
181,3,2
201,695,1
13,198,3
1,189,3
145,237,5
23,385,4
201,767,4
296,705,5
42,546,3
33,872,3
301,554,3
16,64,5
95,135,3
154,357,4
77,484,5
296,508,5
302,303,2
244,673,3
222,77,4
13,215,5
16,705,5
270,452,4
145,15,2
187,64,5
200,304,5
170,749,5
101,829,3
184,218,3
128,204,4
181,1295,1
184,153,3
1,33,4
1,160,4
184,321,5
54,595,3
94,343,4
128,508,4
23,323,2
301,227,3
301,191,3
112,903,1
82,183,3
222,724,3
218,430,3
308,1197,4
303,134,5
133,751,3
215,212,2
69,256,5
254,662,4
276,2,4
104,984,1
63,1067,3
267,410,4
13,56,5
240,879,3
286,237,2
294,271,5
90,1086,4
18,26,4
92,229,3
308,649,4
144,89,3
191,302,4
59,951,3
200,96,5
16,197,5
61,678,3
271,199,4
271,709,3
142,169,5
275,597,3
222,151,3
87,40,3
207,258,4
272,1393,2
177,333,4
207,1115,2
